"File","Sheet","Row","Source","Type","Field","Value","Message"
"dispatch","Sheet1","425","260300091","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000514","Dispatch 260300091 has no matching Sales Order (searched by PBO NCLH30000514, order 251100186, invoice 900003091, chassis MCCJY7PRMTN102569, engine SQRH4J15AGSM60966); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","426","260300092","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000548","Dispatch 260300092 has no matching Sales Order (searched by PBO NCLH30000548, order 251100219, invoice 900003090, chassis MCCJY7PRMTN102348, engine SQRH4J15AGSM60933); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","427","260300093","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000428","Dispatch 260300093 has no matching Sales Order (searched by PBO NCLH30000428, order 251100101, invoice 900003095, chassis MCCJY7PRMTN102591, engine SQRH4J15AGSM61000); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","428","260300094","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000430","Dispatch 260300094 has no matching Sales Order (searched by PBO NCLH30000430, order 251100103, invoice 900003096, chassis MCCJY7PRMTN102611, engine SQRH4J15AGSM60787); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","430","260300102","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000462","Dispatch 260300102 has no matching Sales Order (searched by PBO NCLH30000462, order 251100135, invoice 900003155, chassis MCCJY7PRMTN102607, engine SQRH4J15AGSM60790); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","431","260300106","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000507","Dispatch 260300106 has no matching Sales Order (searched by PBO NCLH30000507, order 251100180, invoice 900003163, chassis MCCJY7PRMTN102528, engine SQRH4J15AGSM60719); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","432","260300107","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000607","Dispatch 260300107 has no matching Sales Order (searched by PBO NCLH30000607, order 251100277, invoice 900003164, chassis MCCJY7PRMTN102619, engine SQRH4J15AGSM60789); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","433","260300109","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000582","Dispatch 260300109 has no matching Sales Order (searched by PBO NCLH30000582, order 251100253, invoice 900003199, chassis MCCJY7PRMTN102618, engine SQRH4J15AGSM60951); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","434","260300162","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000518","Dispatch 260300162 has no matching Sales Order (searched by PBO NCLH30000518, order 251100190, invoice 900003583, chassis MCCJY7PRMTN102608, engine SQRH4J15AGSM60769); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","435","260300098","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000588","Dispatch 260300098 has no matching Sales Order (searched by PBO NCLH30000588, order 251100258, invoice 900003122, chassis MCCJY7PRMTN102603, engine SQRH4J15AGSM61354); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
